ccode,year,Fd1y,Fd2y,Fd3y,Fd4y,Fd5y,Fd6y,R_B,R_N,L1R_B,L2R_B,L3R_B,L1R_N,L2R_N,L3R_N,D1y,L1D1y,L2D1y,L3D1y,D1d_y,L1D1d_y,L2D1d_y,L3D1d_y
724,1974,0.0054220329,0.038459949,0.066845693,0.081475727,0.081891194,0.10397848,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.056187857,0.077884652,0.081497461,0.046494737,0.020245999,0.036114,0.032202002,0.022629
724,1975,0.033037916,0.061423659,0.076053694,0.076469161,0.098556444,0.097231761,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0054220329,0.056187857,0.077884652,0.081497461,0.026169,0.020245999,0.036114,0.032202002
724,1976,0.028385742,0.043015774,0.043431241,0.065518521,0.064193837,0.076658458,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.033037916,0.0054220329,0.056187857,0.077884652,0.015474,0.026169,0.020245999,0.036114
724,1977,0.014630034,0.015045498,0.037132781,0.035808094,0.04827271,0.065973863,1,1,1.0,0.0,0.0,1.0,0.0,0.0,0.028385742,0.033037916,0.0054220329,0.056187857,-0.028147001,0.015474,0.026169,0.020245999
724,1978,0.00041546504,0.022502746,0.021178059,0.033642676,0.051343832,0.069190711,0,0,1.0,1.0,0.0,1.0,1.0,0.0,0.014630034,0.028385742,0.033037916,0.0054220329,-0.044853002,-0.028147001,0.015474,0.026169
724,1979,0.022087282,0.020762596,0.033227213,0.050928369,0.068775244,0.091989607,0,1,0.0,1.0,1.0,0.0,1.0,1.0,0.00041546504,0.014630034,0.028385742,0.033037916,5.9000002e-05,-0.044853002,-0.028147001,0.015474
724,1980,-0.0013246862,0.011139931,0.028841088,0.046687961,0.069902316,0.10243553,0,0,0.0,0.0,1.0,1.0,0.0,1.0,0.022087282,0.00041546504,0.014630034,0.028385742,-0.0049060001,5.9000002e-05,-0.044853002,-0.028147001
724,1981,0.012464617,0.030165773,0.048012648,0.071227007,0.10376023,0.15923145,0,0,0.0,0.0,0.0,0.0,1.0,0.0,-0.0013246862,0.022087282,0.00041546504,0.014630034,0.031254001,-0.0049060001,5.9000002e-05,-0.044853002
724,1982,0.017701156,0.035548031,0.05876239,0.091295607,0.14676684,0.19771008,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.012464617,-0.0013246862,0.022087282,0.00041546504,0.0060200002,0.031254001,-0.0049060001,5.9000002e-05
724,1983,0.017846875,0.041061234,0.073594451,0.12906568,0.18000892,0.22827922,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.017701156,0.012464617,-0.0013246862,0.022087282,-0.011953,0.0060200002,0.031254001,-0.0049060001
724,1984,0.023214359,0.055747576,0.1112188,0.16216204,0.21043234,0.24824627,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.017846875,0.017701156,0.012464617,-0.0013246862,-0.063979998,-0.011953,0.0060200002,0.031254001
724,1985,0.032533217,0.08800444,0.13894768,0.18721798,0.22503191,0.25049192,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.023214359,0.017846875,0.017701156,0.012464617,-0.010434,-0.063979998,-0.011953,0.0060200002
724,1986,0.055471227,0.10641447,0.15468477,0.1924987,0.2179587,0.22725086,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.032533217,0.023214359,0.017846875,0.017701156,-0.021888999,-0.010434,-0.063979998,-0.011953
724,1987,0.050943241,0.099213541,0.13702747,0.16248748,0.17177963,0.16146472,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.055471227,0.032533217,0.023214359,0.017846875,0.027650001,-0.021888999,-0.010434,-0.063979998
724,1988,0.0482703,0.086084232,0.11154424,0.12083639,0.11052147,0.13435343,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.050943241,0.055471227,0.032533217,0.023214359,0.035023998,0.027650001,-0.021888999,-0.010434
724,1989,0.037813935,0.063273937,0.072566092,0.062251173,0.086083129,0.11365807,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0482703,0.050943241,0.055471227,0.032533217,0.044176999,0.035023998,0.027650001,-0.021888999
724,1990,0.025460005,0.03475216,0.024437243,0.048269197,0.075844139,0.10259053,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.037813935,0.0482703,0.050943241,0.055471227,-0.001158,0.044176999,0.035023998,0.027650001
724,1991,0.0092921546,-0.0010227626,0.022809193,0.050384134,0.077130526,0.11402667,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.025460005,0.037813935,0.0482703,0.050943241,0.016023999,-0.001158,0.044176999,0.035023998
724,1992,-0.010314917,0.013517037,0.041091979,0.067838371,0.10473451,0.14779429,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0092921546,0.025460005,0.037813935,0.0482703,-0.0053849998,0.016023999,-0.001158,0.044176999
724,1993,0.023831954,0.051406894,0.078153282,0.11504942,0.1581092,0.20295821,0,0,0.0,0.0,0.0,0.0,0.0,1.0,-0.010314917,0.0092921546,0.025460005,0.037813935,-0.015461,-0.0053849998,0.016023999,-0.001158
724,1994,0.02757494,0.05432133,0.091217473,0.13427725,0.17912626,0.23201719,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.023831954,-0.010314917,0.0092921546,0.025460005,-0.02042,-0.015461,-0.0053849998,0.016023999
